Name,Type,TextBox,Subtype,Cost,Attack,Speed,Health,Legendary,Patron,VersionAdded,ArtType,ArtCredit,HasAnimation,AnimationCount,AnimationTypes,StarterDecks,MentionedCards
Greater Healing Potion,Spell,[Range 2]: Heal a character for 8.,Potion,3,,,,,Neutral,0.2.5,ARTIST_COMMISSIONED,Tomas Vinco,True,3,ParticleDisplayFXAnimation;SingleSoundFXAnimation;SpriteProjectileFXAnimation,,
Green Dragon,Minion,"Flying. Trample. [Warmup 3, Range 2]: Add 3 poison to all characters within 1 Radius.",Dragon,7,6,4,8,,Grenalia,0.1.25,ARTIST_COMMISSIONED,Marc Petrelis,True,3,LoopingParticle;ParticleDisplayFXAnimation,,
Grey Wastes Shade,Minion,Lifelink. Postmortem: the enemy commander heals 6.,Undead,1,2,2,3,,Neutral,0.4.42,COMMISSIONED_PLACEHOLDER,Amna Zaki,True,2,BattleHit;BattleSound,,
Growth,Spell,"Gain <sprite name=""mana_1""> this turn.",None,0,,,,,Grenalia,0.1.14,AI_GENERATED,Midjourney,False,0,,,
Growth Potion,Spell,"[Range 2]: A minion gains <sprite name=""power_1""><sprite name=""speed_1""><sprite name=""health_1"">.",Potion,1,,,,,Neutral,0.2.5,ARTIST_COMMISSIONED,Tomas Vinco,True,4,LoopingParticle;ParticleDisplayFXAnimation;SingleSoundFXAnimation;SpriteProjectileFXAnimation,,
Grutali,Minion,"Legendary. Trample. Arrival: Gain <sprite name=""dominion_5""> Dominion.",Dragon,9,4,3,13,True,Neutral,0.1.21,ARTIST_COMMISSIONED,Marc Petrelis,True,2,BattleHit;BattleSound,,
"Gruth, Ogre Champion",Minion,Legendary. Haste. Deploy.,Ogre,7,6,4,7,True,Skaal,0.1.1,COMMISSIONED_PLACEHOLDER,Devora Studios,True,3,BattleHit;BattleSound;SingleSoundFXAnimation,,
Guardian Ent,Minion,"Regenerate 3. Trample. Costs <sprite name=""mana_3""> less for each Plant you control.",Plant,11,7,2,8,,Grenalia,0.6.2,AI_GENERATED,Nano Banana Pro,True,2,BattleHit;BattleSound,,
Guerilla Gorilla,Minion,Regenerate 3.  (Heals for 3 at the end of your turn.),Beast,3,3,3,4,,Neutral,0.1.7,AI_GENERATED,Midjourney,False,0,,,
Guide to Heavens,Spell,[Range 4]: Destroy a minion. Its commander gains life equal to its Health.,None,4,,,,,Lucia,0.1.4,AI_GENERATED,Midjourney,False,0,,,
Heaven's Legion,Spell,Summon a Lucian Soldier on each tile you own.,None,7,,,,,Lucia,0.1.21,AI_GENERATED,Midjourney,False,0,,,Lucian Soldier
Heavy Cavalry,Minion,"Commander-Deploy.  (Can be played outside of your territory, if next to your commander.)",Human,6,5,4,8,,Neutral,0.4.42,COMMISSIONED_PLACEHOLDER,Devora Studios,True,1,BattleSound,"Starter Deploy, Starter Military",
High Elf Mage,Minion,Spellcaster.  (Spells with Range can be played within Range of High Elf Mage instead of your commander.),Elf,1,2,3,1,,Neutral,0.4.42,COMMISSIONED_PLACEHOLDER,Indra Atmana,False,0,,,
Holy Fervor,Spell,"Ally Human minions within Range 3 gain <sprite name=""power_1""><sprite name=""speed_1""><sprite name=""health_1"">.",None,2,,,,,Lucia,0.2.1,AI_GENERATED,Midjourney,False,0,,,
Homesong Minstrel,Minion,[Arrival]: Return a friendly minion to your hand.,Elf,2,3,2,2,,Neutral,0.4.6,COMMISSIONED_PLACEHOLDER,Indra Atmana,False,0,,,
Hoplite Vanguard,Minion,Shield.  (Prevent the first time this would be damaged from another source.),Human,4,6,3,1,,Neutral,0.4.42,AI_GENERATED,DALL-E,False,0,,"Starter Beasts, Starter Deploy",
Horde Leader,Minion,"Ally Undead within Range 3 have +<sprite name=""power_1""> and Postmortem: the enemy commander gains 2 Poison.",Undead,3,4,2,2,,Shadis,0.4.21,COMMISSIONED_PLACEHOLDER,Amna Zaki,True,5,AuraSigil;LoopingParticle;ParticleDisplayFXAnimation,,
Hover Tank,Minion,"Flying. Shield. [Warmup 2, Range 4]: Deal 6 damage to an enemy.",Mech,5,4,2,5,,Mechanus,0.4.44,COMMISSIONED_PLACEHOLDER,Devora Studios,True,2,BattleHit;BattleSound,,
Illusory Legion,Spell,"[Range 2]: Summon a <sprite name=""power_3""><sprite name=""speed_2""><sprite name=""health_3""> Illusion with Frail. Add a copy of this to your hand with Ethereal.",Psychic,2,,,,,Archaeon,0.4.25,COMMISSIONED_PLACEHOLDER,Indra Atmana,True,1,CardLoopingParticle,,Illusion
Imp,Minion,Flying. Commander-Deploy. Arrival: Your commander takes 3 damage.,Daemon,1,3,2,2,,Shadis,0.4.20,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,,
Infected Dreg,Minion,Postmortem: the enemy commander gains 2 Poison.,Undead,1,2,2,1,,Neutral,0.2.10,COMMISSIONED_PLACEHOLDER,Amna Zaki,True,3,LoopingParticle;ParticleDisplayFXAnimation,Starter Beasts,
Iron Dagger,Spell,Weapon Offensive.  (Only grants its bonuses during your own turn.),None,2,,,,,Neutral,1.2.0,AI_GENERATED,ChatGPT Images,False,0,,,
"Khazgar, Flame Emperor",Minion,"Legendary. Tiles within Range 1 become Lava. Heals from Fire damage.  Costs <sprite name=""mana_1""> less per Fire card you play.",Titan,13,12,3,12,True,Neutral,0.4.8,ARTIST_COMMISSIONED,Marc Petrelis,True,3,BattleHit;BattleSound;LoopingParticle,,
Killing Hex,Spell,Destroy a minion.,None,5,,,,,Shadis,0.1.1,ARTIST_COMMISSIONED,Marc Petrelis,True,1,ParticleDisplayFXAnimation,Starter Death,
Kindle,Spell,"Gain <sprite name=""mana_2""> at the start of your next turn.",Fire,1,,,,,Skaal,0.5.5,AI_GENERATED,Nano Banana Pro,False,0,,,
King Darian,Minion,Legendary. Arrival: Activate the Arrival abilities of all ally minions.,Human,9,7,3,6,True,Neutral,0.4.19,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,,
Knife Sharpener,Minion,"When you play a Minion within Range 2, give it <sprite name=""power_1"">.",Dwarf,1,2,2,1,,Neutral,0.1.27,AI_GENERATED,Stable Diffusion,False,0,,,
Lay Claim,Spell,"[Range 0]: Claim a territory an opponent controls. Gain <sprite name=""dominion_1""> Dominion.",None,4,,,,,Skaal,0.3.2,AI_GENERATED,Midjourney,False,0,,,
Lifeweaver,Minion,"Spellcaster. When ANY spell is played, your commander heals 2 life.",Elf,1,1,3,3,,Neutral,0.2.5,COMMISSIONED_PLACEHOLDER,Indra Atmana,False,0,,,
Light Elemental,Minion,Has additional Power equal to Light Elemental's Health.,None,2,0,3,3,,Lucia,0.6.5,AI_GENERATED,ChatGPT Images,False,0,,,
Lightbound Martyr,Minion,"Postmortem: give the leftmost Minion in your hand <sprite name=""power_2""><sprite name=""speed_1""><sprite name=""health_2"">.",Human,3,3,3,2,,Lucia,0.6.15,AI_GENERATED,ChatGPT Images,False,0,,,
Lightning Bolt,Spell,[Range 4]: Deal 6 damage.,Lightning,4,,,,,Skaal,0.1.1,ARTIST_COMMISSIONED,Marc Petrelis,True,3,ParticleDisplayFXAnimation;SingleSoundFXAnimation,Starter Deploy,
"Limmick, Goblin Hedonist",Minion,Legendary. Deploy. Flying. Arrival: Draw a Potion from your deck.,Goblin,3,3,2,2,True,Skaal,0.1.2,AI_GENERATED,Midjourney,False,0,,Starter Deploy,
Live off the Land,Spell,"Gain <sprite name=""dominion_1""> Dominion. Heal your commander for 4.",None,1,,,,,Grenalia,0.1.4,AI_GENERATED,Midjourney,False,0,,,
Local Trader,Minion,Arrival: Draw a card.,Human,2,1,3,1,,Neutral,0.1.21,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,,
Longleg Dorathru,Minion,"Legendary. Commander-Deploy. Arrival: Gain <sprite name=""power_2""> and <sprite name=""health_2""> for each card you've played this turn.",Arachnid,4,3,3,3,True,Archaeon,0.5.5,COMMISSIONED_PLACEHOLDER,Devora Studios,False,0,,,
Lord of Casterhorn,Minion,"Commander-Deploy. Ally minions within Range 3 have +<sprite name=""power_1""> and +<sprite name=""health_1"">.",Human,3,2,3,3,,Neutral,0.1.1,COMMISSIONED_PLACEHOLDER,Devora Studios,True,1,AuraSigil,Starter Deploy,
Lord of Heavenspire,Minion,Arrival: Ally minions within Range 2 gain Shield.,Dwarf,3,2,2,3,,Lucia,0.4.8,AI_GENERATED,Midjourney,False,0,,,
Lorecaller Gazan,Minion,"Legendary. Spellcaster. If you would draw a card, draw twice as many.",Elf,7,7,3,7,True,Archaeon,0.4.17,COMMISSIONED_PLACEHOLDER,Indra Atmana,False,0,,,
Lucian Battalion,Minion,Arrival: add a Lucian Soldier to hand.,Human,2,2,3,1,,Lucia,0.1.16,AI_GENERATED,Midjourney,False,0,,,Lucian Soldier
Lucian Squire,Minion,"Arrival: give the leftmost minion card in your hand <sprite name=""power_1""> and <sprite name=""health_1"">.",Human,1,1,3,1,,Lucia,0.6.6,AI_GENERATED,ChatGPT Images,True,2,CardAbilityOnAdd;CardLoopingParticle,,
Lucian Zealot,Minion,[Warmup 1]: Summon a Lucian Soldier.,Human,4,3,3,5,,Lucia,0.1.16,AI_GENERATED,Midjourney,False,0,,,Lucian Soldier
Lumbering Ogre,Minion,"Trample.  (When battling and killing an enemy, regain an Attack.)",Ogre,4,6,1,7,,Neutral,0.1.1,ARTIST_COMMISSIONED,Tomas Vinco,True,2,BattleHit;BattleSound,,
Mad Warlock,Minion,Spellcaster. Postmortem: Draw a spell from your deck.,Human,4,4,3,3,,Neutral,0.4.42,AI_GENERATED,DALL-E,False,0,,"Starter Death, Starter Mage",
Mage Slayer,Minion,Veiled.  (Cannot be the direct target of enemy Spells or Abilities.),Dwarf,3,3,2,3,,Neutral,0.6.4,AI_GENERATED,ChatGPT Images,False,0,,,
Mana Bloom,Minion,"[Warmup 1]: Gain <sprite name=""mana_1""> this turn.",Plant,1,0,0,3,,Grenalia,0.1.21,AI_GENERATED,Midjourney,False,0,,,
Manaphant,Minion,"[Warmup 2]: Gain <sprite name=""mana_1""> this turn.",Beast,1,1,3,3,,Grenalia,0.1.1,COMMISSIONED_PLACEHOLDER,Ramon Gomez,False,0,,,
Master Craftsman,Minion,"[<sprite name=""mana_1"">, Warmup 2]: Convert the occupied tile to a village.",Dwarf,1,0,2,1,,Neutral,0.4.42,AI_GENERATED,DALL-E,True,1,SingleSoundFXAnimation,,
"Matrix, Mad Weaver",Minion,"Legendary. Commander-Deploy. Arrival: Unclaim the current tile. If it's a village, destroy it and gain a War Chest.",Arachnid,5,5,3,5,True,Archaeon,1.2.3,AI_GENERATED,ChatGPT Images,True,5,ParticleDisplayFXAnimation;SingleSoundFXAnimation,,War Chest
Memory Theft,Spell,"[Range 2]: Deal 1 damage to a character. If it dies, draw a card from their deck.",Psychic,1,,,,,Archaeon,0.5.3,AI_GENERATED,Nano Banana Pro,False,0,,,
Mind Blast,Spell,[Range 2]: Deal damage to target minion equal to your Intellect.,Psychic,3,,,,,Archaeon,0.6.11,COMMISSIONED_PLACEHOLDER,Indra Atmana,False,0,,,
Mindstone Servant,Minion,"Whenever Mindstone Servant takes damage, draw a card and gain <sprite name=""intellect_1""> Intellect. Spellcaster.",Mech,5,3,3,6,,Neutral,0.6.11,COMMISSIONED_PLACEHOLDER,Devora Studios,False,0,,,
Minor Priest,Minion,"Spellcaster. [Range 2, Cooldown 1]: A character you control heals 1.",Human,1,1,3,2,,Neutral,0.1.2,AI_GENERATED,Midjourney,False,0,,,
Moonlight Seraph,Minion,"Flying. Lifelink. When Moonlight Seraph attacks and kills a minion, draw a card.",Angel,6,6,4,6,,Lucia,0.4.7,AI_GENERATED,Midjourney,True,2,BattleHit;BattleSound,,
Mother of Beasts,Minion,Legendary. Ally Beasts within Range 3 have Regenerate 3.,Beast,3,2,3,4,True,Grenalia,0.1.21,AI_GENERATED,Stable Diffusion,True,1,AuraSigil,,
Mummified Warrior,Minion,Postmortem: Draw a card.,Undead,2,2,2,2,,Neutral,0.4.38,COMMISSIONED_PLACEHOLDER,Amna Zaki,False,0,,Starter Death,
Nevisha Ascendant,Minion,"Legendary. Flying. Arrival AND at the beginning of your turn: add a Lucian Soldier to your hand and ally minions in Range 3 gain <sprite name=""power_1""><sprite name=""speed_1""><sprite name=""health_1"">.",Angel,7,6,5,6,True,Lucia,0.1.23,AI_GENERATED,Midjourney,True,2,BattleHit;BattleSound,,Lucian Soldier
Nexus Operative,Minion,"Spellcaster. Whenever you play a spell, your other Spellcasters gain <sprite name=""power_1""><sprite name=""speed_1""><sprite name=""health_1""> until end of turn.",Elf,3,3,3,3,,Archaeon,0.4.26,COMMISSIONED_PLACEHOLDER,Indra Atmana,False,0,,,
Nexus Recruit,Minion,"Spellcaster. Whenever you draw a card, gain <sprite name=""power_1""><sprite name=""health_1""> until end of turn.",Elf,1,1,3,2,,Archaeon,0.4.26,COMMISSIONED_PLACEHOLDER,Indra Atmana,False,0,,,
Nilo of One Thousand Cuts,Minion,"Legendary. Postmortem: Deal 2 damage to each commander, then add a copy of Nilo to your hand.",Demigod,2,2,2,2,True,Shadis,0.1.1,ARTIST_COMMISSIONED,Marc Petrelis,True,5,EntryEffect;ParticleDisplayFXAnimation;ParticleTwoPointMotionFXAnimation;RandomSoundFXAnimation;SingleSoundFXAnimation,,
Nobleman of the Order,Minion,"Whenever a minion is healed within Range 3, draw a card.",Human,4,3,3,4,,Lucia,0.1.7,AI_GENERATED,Midjourney,False,0,,Starter Military,
Oathbroken Apprentice,Minion,"Commander-Deploy. Whenever your commander loses life on your turn, gain <sprite name=""power_1"">.",Human,1,1,3,2,,Neutral,0.6.11,AI_GENERATED,ChatGPT Images,False,0,,,
Oathsworn Champion,Minion,Arrival: Heal all allies for 2.,Human,5,5,3,5,,Neutral,0.1.4,AI_GENERATED,Midjourney,False,0,,Starter Military,
Oldsteel Guard,Minion,"Has +<sprite name=""power_1""> for each territory you control.",Dwarf,2,0,2,2,,Neutral,0.6.4,AI_GENERATED,ChatGPT Images,False,0,,,
Outflank,Spell,[Range 3]: Target enemy minion takes damage equal to the number of humans you control.,None,1,,,,,Lucia,0.4.38,AI_GENERATED,DALL-E,False,0,,,
Outland Berserker,Minion,"Commander-Deploy. Whenever Outland Berserker takes damage, it gains <sprite name=""power_2"">.",Human,5,3,3,7,,Neutral,0.3.2,COMMISSIONED_PLACEHOLDER,Devora Studios,False,0,,Starter Military,
Outland Village,Spell,"[Range 3]: Claim an unclaimed, uncontested tile. Convert the tile to a village.",Village,4,,,,,Neutral,0.1.4,AI_GENERATED,Midjourney,True,1,SingleSoundFXAnimation,,
Owl Familiar,Minion,Flying. Spellcaster.,Beast,2,2,4,2,,Neutral,0.4.42,AI_GENERATED,DALL-E,False,0,,Starter Mage,
Pack Wolf,Minion,"Has +<sprite name=""power_2""> for each adjacent ally Beast.",Beast,2,2,3,2,,Neutral,0.2.5,AI_GENERATED,Midjourney,False,0,,,
Paladin Initiate,Minion,"Commander-Deploy. Sentinel. Whenever a character you own is healed, gain <sprite name=""power_1"">.",Human,1,1,3,3,,Neutral,0.1.2,AI_GENERATED,Midjourney,False,0,,Starter Military,
Paladin of Eos,Minion,"[Range 2, Cooldown 1]: Heal a character for 2.",Human,3,2,3,4,,Neutral,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,,
Paladin Proselyte,Minion,"Commander-Deploy. Sentinel. Whenever a character you own is healed, gain <sprite name=""power_1""> and <sprite name=""health_1"">.",Human,3,3,3,3,,Neutral,0.1.2,PURCHASED_ASSET,Nightfall Interactive,False,0,,Starter Military,
Parrying Buckler,Spell,Weapon Defensive.  (Only grants its bonuses during other players' turns.),None,4,,,,,Neutral,1.2.0,AI_GENERATED,ChatGPT Images,True,1,WeaponParry,,
Peer,Spell,"[Range 2]: Draw a card, then Reveal the leftmost card from a commander's hand.",Psychic,0,,,,,Archaeon,0.4.28,COMMISSIONED_PLACEHOLDER,Indra Atmana,False,0,,,
Pit Lord,Minion,Flying. Trample. Commander-Deploy. At the beginning of your turn: your commander loses 4 life.,Daemon,5,6,4,7,,Shadis,0.4.20,AI_GENERATED,DALL-E,False,0,,,
Pixie Pikeman,Minion,"Flying. Arrival: discard the leftmost card in your hand, then draw a card.",Fae,2,3,4,1,,Adora,0.4.44,AI_GENERATED,DALL-E,False,0,,,
Poison Spray,Spell,[Range 3]: Add 4 Poison to a character.,None,3,,,,,Grenalia,0.1.14,COMMISSIONED_PLACEHOLDER,Devora Studios,True,3,LoopingParticle;ParticleDisplayFXAnimation,Starter Beasts,
Poison Sting,Spell,[Range 3]: Add 2 Poison to a character.,None,1,,,,,Grenalia,0.1.14,ARTIST_COMMISSIONED,Marc Petrelis,True,3,LoopingParticle;ParticleDisplayFXAnimation,Starter Beasts,
Pond Hopper,Minion,"[Range 4, Cooldown 1]: Pull a minion in a straight line to Pond Hopper.",Beast,2,2,3,3,,Neutral,0.3.3,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,,
Ponder,Spell,Draw 2 cards.,None,3,,,,,Archaeon,0.1.1,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,Starter Mage,
Potion of Healing,Spell,[Range 2]: Heal a character for 4.,Potion,1,,,,,Neutral,0.1.1,ARTIST_COMMISSIONED,Tomas Vinco,True,3,ParticleDisplayFXAnimation;SingleSoundFXAnimation;SpriteProjectileFXAnimation,,
Power Potion,Spell,"[Range 2]: A minion gains <sprite name=""power_3""> and <sprite name=""health_3"">.",Potion,3,,,,,Neutral,0.1.2,ARTIST_COMMISSIONED,Tomas Vinco,True,4,LoopingParticle;ParticleDisplayFXAnimation;SingleSoundFXAnimation;SpriteProjectileFXAnimation,"Starter Death, Starter Deploy, Starter Military",
Prideplain Enforcer,Minion,"Arrival: Gain <sprite name=""dominion_1""> Dominion.",Beast,2,3,2,2,,Neutral,0.1.27,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,Starter Beasts,
Prideplain Queen,Minion,Your Beasts have Haste.,Beast,6,5,3,6,,Grenalia,0.1.21,AI_GENERATED,Midjourney,True,1,SingleSoundFXAnimation,Starter Beasts,
Primordial Storm,Spell,Deal 3 damage to all enemy minions twice.,Lightning,8,,,,,Skaal,0.6.13,AI_GENERATED,ChatGPT Images,False,0,,,
Prince Xerxes,Minion,Legendary. Realmbound. Your Arrival abilities trigger an additional time.,Human,4,3,3,3,True,Neutral,0.2.5,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,,
Purifier Euron,Minion,Legendary. [Once Per Game]: Destroy the current tile if it's a village to destroy ALL other minions.,Demigod,9,8,3,6,True,Lucia,0.2.10,ARTIST_COMMISSIONED,Marc Petrelis,True,5,BattleHit;BattleSound;ParticleDisplayFXAnimation;SingleSoundFXAnimation,,
"Pyr, Mortal Shepherd",Minion,"Legendary. Flying. Sentinel. Arrival: Draw an Elf, a Dwarf, and a Human from your deck.",Angel,8,5,4,6,True,Neutral,1.2.3,AI_GENERATED,ChatGPT Images,False,0,,,
Pyromancer Apprentice,Minion,"Realmbound. Spellcaster. Whenever you play a Spell with cost 3 or greater, add a Flamelash to your hand.",Human,2,2,3,2,,Skaal,0.1.29,AI_GENERATED,Midjourney,True,3,EntryEffect;ParticleDisplayFXAnimation;SingleSoundFXAnimation,,Flamelash
Pyromaniac,Minion,Spellcaster. Arrival: Draw a fire card from your deck.,Human,3,3,3,1,,Skaal,0.2.1,AI_GENERATED,Midjourney,False,0,,,
Quell the Weak,Spell,"[Range 4]: Destroy a minion with Power <sprite name=""power_3""> or less.",None,2,,,,,Lucia,0.1.7,ARTIST_COMMISSIONED,Tomas Vinco,True,2,ParticleDisplayFXAnimation;SingleSoundFXAnimation,Starter Military,
Quickling,Minion,(Quicklings move faster than mortal eyes can follow.),Beast,5,3,9,6,,Neutral,0.1.1,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,Starter Beasts,
Ravenous Wolf,Minion,(Fear the wolf with the strongest appetite.),Beast,2,3,4,2,,Neutral,0.1.1,AI_GENERATED,Midjourney,False,0,,Starter Beasts,
Red Dragon,Minion,"Flying. Haste. [Warmup 3, Range 2]: Deal 3 damage to all characters within 1 Radius.",Dragon,6,5,4,5,,Skaal,0.1.1,ARTIST_COMMISSIONED,Marc Petrelis,True,3,BattleHit;BattleSound;SingleSoundFXAnimation,,
Regeneration Potion,Spell,[Range 2]: Give a minion Regeneration 3.,Potion,1,,,,,Grenalia,0.2.5,ARTIST_COMMISSIONED,Tomas Vinco,True,3,ParticleDisplayFXAnimation;SingleSoundFXAnimation;SpriteProjectileFXAnimation,,
"Reileigh, Brewpatron",Minion,"Legendary. Potions in your hand cost <sprite name=""mana_0"">.",Human,6,4,3,6,True,Neutral,0.3.4,COMMISSIONED_PLACEHOLDER,Devora Studios,False,0,,,
Remit,Spell,[Range 2] Return a minion to their controller's hand.,Psychic,1,,,,,Archaeon,0.4.15,AI_GENERATED,DALL-E,False,0,,Starter Mage,
Revoke the Living,Spell,"Add 2 poison to all enemies within Range 1 of your territory. Gain <sprite name=""dominion_1""> Dominion.",None,4,,,,,Grenalia,0.1.14,AI_GENERATED,Midjourney,True,3,LoopingParticle;ParticleDisplayFXAnimation,,
"Rhea, Morning Saint",Minion,"Legendary. Shield. Arrival: if your other minions have 7 or more total Health, give the leftmost minion in your hand <sprite name=""power_5""><sprite name=""speed_1""><sprite name=""health_5""> and Shield.",Human,5,6,3,3,True,Lucia,0.6.15,AI_GENERATED,ChatGPT Images,True,4,BattleHit;BattleSound;CardLoopingParticle,,
Ritual of Shadows,Spell,Shuffle three Dark Offerings into your deck.,None,1,,,,,Shadis,0.4.25,AI_GENERATED,DALL-E,False,0,,,Dark Offering
Royal Commander,Minion,"Ally minions within Range 3 have +<sprite name=""power_1""><sprite name=""speed_1""><sprite name=""health_1"">.",Human,6,6,3,6,,Neutral,0.4.42,ARTIST_COMMISSIONED,Tomas Vinco,True,1,AuraSigil,"Starter Death, Starter Military",
Rule the Hinterlands,Spell,"Claim an uncontested tile adjacent to your territory. Gain <sprite name=""dominion_2""> Dominion.",None,3,,,,,Grenalia,0.1.4,AI_GENERATED,Midjourney,False,0,,,
Runic Knight,Minion,Spell-Damage +1.  (Spells you play deal an extra 1 damage.),Human,3,3,3,4,,Neutral,0.4.42,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,Starter Mage,
Sacrificial Offering,Spell,Destroy an ally minion. Draw 2 cards.,None,1,,,,,Shadis,0.4.15,COMMISSIONED_PLACEHOLDER,Devora Studios,False,0,,Starter Death,
Sage Potion,Spell,"[Range 2]: A minion gains ""Whenever you draw a card, gain <sprite name=""power_1""> and <sprite name=""health_1"">"".",Potion,2,,,,,Archaeon,0.4.23,ARTIST_COMMISSIONED,Tomas Vinco,True,4,LoopingParticle;ParticleDisplayFXAnimation;SingleSoundFXAnimation;SpriteProjectileFXAnimation,,
Sanguine Baroness,Minion,Fatal. Arrival: Draw 2 cards and your commander heals 2.,Vampire,7,3,3,3,,Neutral,0.4.42,AI_GENERATED,DALL-E,False,0,,,
Scout Hunter,Minion,Commander-Deploy. Spellcaster. Arrival: Refresh 5 Mana.,Arachnid,5,4,3,4,,Archaeon,0.4.25,ARTIST_COMMISSIONED,Marc Petrelis,True,2,BattleHit;BattleSound,Starter Mage,
Second Experiment,Minion,"Whenever you play a Potion on an ally Experiment, gain <sprite name=""power_1""> and <sprite name=""speed_1"">.",Experiment,2,3,1,3,,Neutral,0.1.7,COMMISSIONED_PLACEHOLDER,Devora Studios,False,0,,,
Sentinel of Light,Minion,Lifelink. Shield. Commander-Deploy.,Human,2,2,3,2,,Lucia,0.4.8,AI_GENERATED,Midjourney,False,0,,Starter Military,
Settle Village,Spell,Convert a tile you own to a village.,Village,3,,,,,Neutral,0.1.1,AI_GENERATED,Stable Diffusion,True,1,SingleSoundFXAnimation,,
Shield Potion,Spell,[Range 2]: A character gains Shield.,Potion,1,,,,,Lucia,0.4.8,ARTIST_COMMISSIONED,Tomas Vinco,True,3,ParticleDisplayFXAnimation;SingleSoundFXAnimation;SpriteProjectileFXAnimation,,
Shock Nova,Spell,Deal 1 damage to ALL characters.,Lightning,1,,,,,Skaal,0.1.21,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,,
Silence,Spell,[Range 4]: Silence target minion.,None,0,,,,,Lucia,0.4.43,AI_GENERATED,DALL-E,False,0,,,
Silver Dragon,Minion,"Flying. Shield. [Warmup 3, Range 2]: Stun enemies within 1 Radius.",Dragon,5,5,4,5,,Neutral,0.4.22,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,,
Skaali Blessing,Spell,"Give your Weapon +<sprite name=""power_1""><sprite name=""speed_1""><sprite name=""durability_1"">. If you don't have a Weapon equipped, draw one from your deck.",None,1,,,,,Skaal,1.2.1,AI_GENERATED,ChatGPT Images,False,0,,,
Skerr'drix,Minion,"Legendary. Spellcaster. When you play a non-ethereal spell, add an ethereal copy to your hand that costs zero mana.",Dragon,8,6,4,6,True,Neutral,0.4.6,ARTIST_COMMISSIONED,Marc Petrelis,True,1,CardLoopingParticle,,
Slash and Burn,Spell,"Unclaim a tile you control. Gain <sprite name=""dominion_2""> Dominion.",Fire,1,,,,,Skaal,0.2.10,AI_GENERATED,Midjourney,False,0,,,
Slay the Mighty,Spell,"[Range 4]: Destroy a minion with Power <sprite name=""power_5""> or more.",None,3,,,,,Lucia,0.1.2,ARTIST_COMMISSIONED,Tomas Vinco,True,2,ParticleDisplayFXAnimation;SingleSoundFXAnimation,Starter Military,
Soul Sale,Spell,"Add 3 Imps to your hand. They cost <sprite name=""mana_0""> and have Ethereal.",None,4,,,,,Shadis,0.4.44,AI_GENERATED,DALL-E,True,1,CardLoopingParticle,,Imp
Soulreap,Spell,"An enemy minion loses <sprite name=""power_6""> and <sprite name=""health_6"">. Your commander heals 6 life. Costs <sprite name=""mana_5""> less if you control a Daemon.",None,8,,,,,Shadis,0.4.22,COMMISSIONED_PLACEHOLDER,Amna Zaki,False,0,,,
Spiderling Rider,Minion,Trample. [Range 2 Attack]: Deal 2 damage to an enemy if you control another Arachnid.,Arachnid,3,3,3,3,,Neutral,0.4.38,ARTIST_COMMISSIONED,Marc Petrelis,True,4,ParticleDisplayFXAnimation;ParticleTwoPointMotionFXAnimation;SingleSoundFXAnimation,,
Spoils of War,Spell,Discard your hand. Draw cards equal to the number of territories you control.,None,5,,,,,Skaal,0.4.7,AI_GENERATED,DALL-E,False,0,,,
Spore Thresher,Minion,"At the end of your turn, add 2 Poison to enemies and heal 2 for allies within Range 2.",Plant,6,1,0,6,,Grenalia,0.2.5,ARTIST_COMMISSIONED,Tomas Vinco,True,5,LoopingParticle;ParticleDisplayFXAnimation;SingleSoundFXAnimation,,
Stagasus,Minion,"Flying. [<sprite name=""mana_1"">, Warmup 1, Range 2]: Give an ally +4 movement.",Beast,2,2,2,2,,Neutral,0.1.1,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,Starter Deploy,
Stalking Hippo,Minion,Regenerate 5.  (Heals for 5 at the end of your turn.),Beast,5,4,4,6,,Neutral,0.4.42,AI_GENERATED,DALL-E,False,0,,Starter Beasts,
Stalwart Tarantula,Minion,"Sentinel. Has +<sprite name=""power_2""> during enemy turns.",Arachnid,3,2,3,5,,Neutral,0.4.20,COMMISSIONED_PLACEHOLDER,Devora Studios,True,2,BattleHit;BattleSound,Starter Death,
Stampede,Spell,"Beasts you control within Range 3 gain <sprite name=""power_3""><sprite name=""speed_2""><sprite name=""health_3""> and gain Trample until the end of the turn.",None,6,,,,,Grenalia,0.3.2,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,,
Steel Lancer,Minion,Haste. Shield.,Human,5,4,3,2,,Neutral,0.4.42,COMMISSIONED_PLACEHOLDER,Devora Studios,True,2,BattleSound;SingleSoundFXAnimation,Starter Death,
